"contrast","cohort","outcome","estimand","estimator","cr_est","cr_ci_lo","cr_ci_hi","cr_n","main_est","main_ci_lo","main_ci_hi","main_se","main_n","abs_diff","verdict","reason"
"PRIMARY","primary cohort (1,616)","death by 180 d (proxy survival)","ATE (180-day risk difference)","survtmle, monthly grid",-0.0136956149213716,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not_comparable","Proxy survival outcome uses coarsened, partly imputed event times; kept strictly secondary (reconciliation_2026-07-28.md discrepancy 4)."
"PRIMARY","primary cohort (1,616)","death_by_6mo","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0225,-0.0415,-0.0034,0.0097,1227,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","death_by_6mo","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0187,-0.0423,0.0057,0.0122,1227,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","death_by_6mo","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.0208,-0.0402,-0.0014,0.0099,1227,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","death_by_6mo","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0072,-0.036,0.0252,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","death_in_hospital","ATE","TMLE, complete case",NA,NA,NA,NA,-0.0058,-0.016,0.0044,0.0052,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","death_in_hospital","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0073,-0.0196,0.0037,0.006,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","death_in_hospital","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.005,-0.0154,0.0053,0.0053,1609,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","death_in_hospital","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0086,-0.0237,0.0064,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","gose","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,0.1522,-0.0504,0.3549,0.1034,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","gose","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.128,-0.1225,0.3608,0.1249,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","gose","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.1528,-0.0612,0.3668,0.1092,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","gose","matched ATT","1:1 caliper matching, no replacement",NA,NA,NA,NA,-0.0145,-0.3696,0.326,NA,NA,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","gose_favorable","ATE","TMLE, IPCW via Delta",0.0318,-1e-04,0.0637,1219,0.0062,-0.0304,0.0428,0.0187,1222,0.0256,"benign_difference","Estimand and nuisance differences documented in reconciliation_2026-07-28.md discrepancy 3: clean room fits complete-case Q on the full cohort with 21 covariates and SL.glm/SL.glmnet/SL.mean; the main pipeline uses IPCW via Delta, 90 design columns, and the richer library. Scheduled to close in the September rebuild (Part 1 items 2 to 4)."
"PRIMARY","primary cohort (1,616)","gose_favorable","ATE","stabilised IPTW",0.0315,-0.0034,0.0664,1616,NA,NA,NA,NA,NA,NA,"missing_in_main","Clean-room-only quantity."
"PRIMARY","primary cohort (1,616)","gose_favorable","ATE","TMLE, complete case",0.0284,-0.0034,0.0601,1616,NA,NA,NA,NA,NA,NA,"missing_in_main","Clean-room-only quantity."
"PRIMARY","primary cohort (1,616)","gose_favorable","ATE on matched cohort","TMLE on matched cohort",0.0263,-0.0148,0.0674,1160,NA,NA,NA,NA,NA,NA,"missing_in_main","Clean-room-only quantity."
"PRIMARY","primary cohort (1,616)","gose_favorable","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,0.0049,-0.0362,0.0477,0.0212,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","gose_favorable","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,-0.001,-0.0399,0.0378,0.0198,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","gose_favorable","crude difference","arm difference",0.0292,-0.0051,0.0635,1219,NA,NA,NA,NA,NA,NA,"missing_in_main","Clean-room-only quantity."
"PRIMARY","primary cohort (1,616)","gose_favorable","matched ATT","1:1 caliper matching, no replacement",0.0208,-0.0221,0.0636,580,NA,NA,NA,NA,NA,NA,"missing_in_main","Clean-room-only quantity."
"PRIMARY","primary cohort (1,616)","NC: Chronic hypertension","unadjusted RD (balance check)","two-proportion difference | CR: clean-room NC (IPTW/TMLE)",0.00583,NA,NA,NA,0.0092,-0.0042,0.0227,0.0068,1616,0.00337,"benign_difference","Same as urban household: adjusted vs unadjusted, both null."
"PRIMARY","primary cohort (1,616)","NC: Diabetes, insulin dependent","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,NA,NA,NA,NA,1616,NA,"not_comparable","Neither pipeline reports this cell."
"PRIMARY","primary cohort (1,616)","NC: HIV/AIDS on ART","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,NA,NA,NA,NA,1616,NA,"not_comparable","Neither pipeline reports this cell."
"PRIMARY","primary cohort (1,616)","NC: Urban household (SES)","unadjusted RD (balance check)","two-proportion difference | CR: clean-room NC (IPTW/TMLE)",-0.00171,NA,NA,NA,-0.0027,-0.0175,0.0121,0.0076,1616,0.00099,"agree","Within a quarter of a main-pipeline SE."
"PRIMARY","primary cohort (1,616)","NC: Wood/charcoal cooking fuel (SES)","unadjusted RD (balance check)","two-proportion difference",NA,NA,NA,NA,-0.001,-0.0236,0.0216,0.0115,1616,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","severe_disability","ATE","TMLE, IPCW via Delta",NA,NA,NA,NA,-0.0061,-0.0427,0.0305,0.0187,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","severe_disability","ATO","Hajek overlap weights, percentile bootstrap",NA,NA,NA,NA,-0.0049,-0.0488,0.0336,0.0213,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
"PRIMARY","primary cohort (1,616)","severe_disability","ATT among outcome-observed","TMLE, complete case",NA,NA,NA,NA,0.001,-0.0379,0.0398,0.0198,1222,NA,"missing_in_cleanroom","Scheduled: September rebuild adds this contrast/estimand to the clean room."
