"stage","decision_type","description","rationale","timestamp"
"Stage 1a","specification","Lock with 21 covariates, SL.glm+SL.glmnet+SL.mean SL library","Pre-specified analysis plan covariates and learner set","2026-05-05 20:45:48"
"Stage 1a","cohort","Restricted to ambulance arrivals (Rescue.Co or other)","Treatment indicator only defined for ambulance patients","2026-05-05 20:45:48"
"Stage 1a","cohort","Excluded interfacility transfers (n_excluded = 494)","Transfers conflate ambulance quality with referring-facility care; analysed separately","2026-05-05 20:45:48"
"Stage 1a","cohort","Filled treatment for 12 ambulance arrivals where ems_ambulance was blank but hosp_transport said Ambulance","These are clearly ambulance arrivals; treatment indicator filled as A=0 (non-Rescue)","2026-05-05 20:45:48"
"Stage 1a","outcome","Primary outcome = GOSE > 4 (binary)","Pre-registered threshold for good functional recovery","2026-05-05 20:45:48"
"Stage 1a","outcome","Will also report ordinal-PO and continuous GOSE as sensitivity","Wang et al. 2023 — fixed dichotomy is least powerful","2026-05-05 20:45:48"
"Stage 1a","outcome","Survival proxy: hospital deaths=day 1; FU deaths=day 90; alive at FU=180; LFTU=30 (censored)","Approximate scheme; flagged in report as introducing informative censoring; survtmle takes precedence","2026-05-05 20:45:48"
"Stage 1a","covariates","PS-matching caliper = 0.2 SD logit-PS (Austin 2011 default)","Replaces previous 0.05-absolute caliper which excluded > 90% of treated","2026-05-05 20:45:48"
"Stage 1a","covariates","Excluded `was_scene_care_performed` from PS model","Post-treatment / collider — including it would absorb part of the EMS effect","2026-05-05 20:45:48"
"Stage 1a","covariates","Strike-window indicator (2024-03-15 to 2024-05-08) added as sensitivity-covariate","Strike altered hospital-side care; indicator pre-treatment in dispatch sense","2026-05-05 20:45:48"
"Stage 1a","negative_controls","5 NCs registered: chronic_hypertension, chronic_diabetes_insulin, chronic_hiv_art, household_urban, fuel_wood","Pre-treatment covariates expected to have null treatment effect","2026-05-05 20:45:48"
"Stage 1a","sensitivity","PS truncation grid pre-registered: 0.01, 0.025, 0.05, 0.10","Standard truncation-sensitivity sweep (declare_sensitivity_plan)","2026-05-05 20:45:48"
"Stage 1a","sensitivity","Transfer-inclusion sensitivity pre-registered (re-run with is_transfer covariate)","Pre-registered transfer-included counterpart to primary cohort","2026-05-05 20:45:48"
"Stage 1a","merge","Registry × follow-up merge on patient_id ↔ patients_id_gose","record_id is independent in the two tables; patient_id is the proper join key","2026-05-05 20:45:48"
