"contrast","outcome","estimand","is_primary","estimate","se","ci_lower","ci_upper","p_value","n","support_verdict","implausible"
"C1","death_by_6mo","ATE",TRUE,0.00555,0.01163,-0.01724,0.02835,0.63302,8323,"SEVERE",FALSE
"C1","death_by_6mo","trimmed_ATE",FALSE,0.00596,0.00636,-0.0065,0.01842,0.34866,4946,"PASS",FALSE
"C1","death_by_6mo","ATT",FALSE,-0.00504,0.00645,-0.01768,0.0076,0.43446,6557,"PASS",FALSE
"C1","death_by_6mo","ATO",FALSE,0.00041,0.00587,-0.01109,0.0119,0.94473,6557,"PASS",FALSE
"C1","time_to_arrival_minutes","ATE",TRUE,-183.47695,110.68003,-400.40582,33.45192,0.09737,8323,"SEVERE",FALSE
"C1","time_to_arrival_minutes","trimmed_ATE",FALSE,-270.37721,21.93976,-313.37836,-227.37607,0,4946,"PASS",FALSE
"C1","time_to_arrival_minutes","ATT",FALSE,-219.01674,25.0235,-268.06279,-169.97068,0,8142,"PASS",FALSE
"C1","time_to_arrival_minutes","ATO",FALSE,-198.79253,28.82397,-255.28751,-142.29754,0,8142,"PASS",FALSE
"C2","death_by_6mo","trimmed_ATE",FALSE,0.00325,0.00572,-0.00796,0.01446,0.57003,4327,"PASS",FALSE
"C2","death_by_6mo","ATT",FALSE,0.00078,0.00758,-0.01408,0.01563,0.91834,5632,"PASS",FALSE
"C2","death_by_6mo","ATO",FALSE,0.00511,0.00577,-0.00621,0.01643,0.37633,5632,"PASS",FALSE
"C2","time_to_arrival_minutes","trimmed_ATE",FALSE,-278.76647,34.67114,-346.72066,-210.81229,0,4327,"PASS",FALSE
"C2","time_to_arrival_minutes","ATT",FALSE,-272.38809,28.80122,-328.83849,-215.93769,0,7013,"PASS",FALSE
"C2","time_to_arrival_minutes","ATO",FALSE,-250.10191,33.34804,-315.46408,-184.73975,0,7013,"PASS",FALSE
"C3","death_by_6mo","ATE",TRUE,0.01785,0.00508,0.00789,0.02781,0.00044,8323,"FLAG",FALSE
"C3","death_by_6mo","trimmed_ATE",FALSE,0.01855,0.0053,0.00816,0.02895,0.00047,8009,"PASS",FALSE
"C3","death_by_6mo","ATT",FALSE,0.0195,0.00698,0.00581,0.03319,0.00524,6557,"PASS",FALSE
"C3","death_by_6mo","ATO",FALSE,0.01685,0.00478,0.00749,0.02621,0.00042,6557,"PASS",FALSE
"C3","time_to_arrival_minutes","ATE",TRUE,-244.77181,38.62327,-320.47204,-169.07159,0,8323,"FLAG",FALSE
"C3","time_to_arrival_minutes","trimmed_ATE",FALSE,-242.05969,35.80104,-312.22843,-171.89095,0,8009,"PASS",FALSE
"C3","time_to_arrival_minutes","ATT",FALSE,-295.79649,43.76653,-381.57888,-210.01409,0,8142,"PASS",FALSE
"C3","time_to_arrival_minutes","ATO",FALSE,-248.16471,34.94228,-316.65157,-179.67784,0,8142,"PASS",FALSE
"C4","death_by_6mo","ATE",TRUE,-0.02903,0.01,-0.04863,-0.00943,0.0037,2197,"FLAG",FALSE
"C4","death_by_6mo","trimmed_ATE",FALSE,-0.02098,0.00974,-0.04007,-0.0019,0.03116,2098,"PASS",FALSE
"C4","death_by_6mo","ATT",FALSE,-0.01892,0.00886,-0.03629,-0.00156,0.03272,1704,"PASS",FALSE
"C4","death_by_6mo","ATO",FALSE,-0.00775,0.00859,-0.02459,0.00908,0.36679,1704,"PASS",FALSE
"C4","time_to_arrival_minutes","ATE",TRUE,-204.67657,40.493,-284.04138,-125.31175,0,2197,"FLAG",FALSE
"C4","time_to_arrival_minutes","trimmed_ATE",FALSE,-134.29898,44.04701,-220.62953,-47.96844,0.0023,2098,"PASS",FALSE
"C4","time_to_arrival_minutes","ATT",FALSE,-99.70953,30.21109,-158.92326,-40.4958,0.00097,2156,"PASS",FALSE
"C4","time_to_arrival_minutes","ATO",FALSE,-89.74535,38.8261,-165.8445,-13.64619,0.02081,2156,"PASS",FALSE
"PRIMARY","death_by_6mo","ATE",TRUE,-0.017,0.00933,-0.03529,0.00128,0.06842,1616,"PASS",FALSE
"PRIMARY","death_by_6mo","trimmed_ATE",FALSE,-0.01717,0.00921,-0.03522,0.00088,0.06221,1615,"PASS",FALSE
"PRIMARY","death_by_6mo","ATT",FALSE,-0.02838,0.01007,-0.04812,-0.00864,0.00483,1227,"PASS",FALSE
"PRIMARY","death_by_6mo","ATO",FALSE,-0.01226,0.00897,-0.02985,0.00533,0.1718,1227,"PASS",FALSE
"PRIMARY","time_to_arrival_minutes","ATE",TRUE,-0.07549,16.09948,-31.62989,31.47891,0.99626,1616,"PASS",FALSE
"PRIMARY","time_to_arrival_minutes","trimmed_ATE",FALSE,-2.82245,16.09836,-34.37467,28.72976,0.86082,1615,"PASS",FALSE
"PRIMARY","time_to_arrival_minutes","ATT",FALSE,-4.01617,15.86664,-35.1148,27.08245,0.80018,1594,"PASS",FALSE
"PRIMARY","time_to_arrival_minutes","ATO",FALSE,2.64245,18.87544,-34.3534,39.63831,0.88866,1594,"PASS",FALSE
