"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"all","Crude",120,120,120,0.079815,0.093693,0.049277,0.047389,0.6417,0.0438
"all","Adj. Regression (analytic)",120,120,120,0.008737,0.070074,0.069819,0.063553,0.8833,0.0293
"all","IPTW (analytic)",120,120,120,0.021667,0.084946,0.08248,0.080339,0.9333,0.0228
"all","PS-Matched (pairs boot)",120,120,120,0.004926,0.082441,0.082639,0.074823,0.9333,0.0228
"all","TMLE-GLM (IC)",120,120,120,0.004545,0.089553,0.089813,0.072006,0.8833,0.0293
"all","TMLE-ML (IC)",120,120,120,0.007213,0.083002,0.083034,0.061904,0.8667,0.031
"all","TMLE-ML (NP boot pctl)",120,120,0,0.007213,0.083002,0.083034,NA,NA,NA
"all","TMLE-ML (NP boot norm)",120,120,0,0.007213,0.083002,0.083034,NA,NA,NA
"all","TMLE-ML (mult.boot)",120,120,120,0.007213,0.083002,0.083034,0.061331,0.8417,0.0333
"all","CV-TMLE-ML (IC)",120,120,120,0.006903,0.089485,0.089593,0.07735,0.8667,0.031
"all","CV-TMLE-ML (mult.boot)",120,120,120,0.006903,0.089485,0.089593,0.077113,0.8667,0.031
"overlap_ok","Crude",64,64,64,0.07417,0.089598,0.050662,0.047646,0.6562,0.0594
"overlap_ok","Adj. Regression (analytic)",64,64,64,0.014789,0.064631,0.063414,0.056849,0.8594,0.0435
"overlap_ok","IPTW (analytic)",64,64,64,0.020258,0.065717,0.063011,0.070612,0.9531,0.0264
"overlap_ok","PS-Matched (pairs boot)",64,64,64,0.010666,0.071586,0.071347,0.062959,0.9062,0.0364
"overlap_ok","TMLE-GLM (IC)",64,64,64,0.017716,0.066868,0.064989,0.069897,0.9375,0.0303
"overlap_ok","TMLE-ML (IC)",64,64,64,0.020007,0.063034,0.060248,0.059075,0.9219,0.0335
"overlap_ok","TMLE-ML (NP boot pctl)",64,64,0,0.020007,0.063034,0.060248,NA,NA,NA
"overlap_ok","TMLE-ML (NP boot norm)",64,64,0,0.020007,0.063034,0.060248,NA,NA,NA
"overlap_ok","TMLE-ML (mult.boot)",64,64,64,0.020007,0.063034,0.060248,0.058737,0.8906,0.039
"overlap_ok","CV-TMLE-ML (IC)",64,64,64,0.008798,0.064432,0.064333,0.08478,0.9844,0.0155
"overlap_ok","CV-TMLE-ML (mult.boot)",64,64,64,0.008798,0.064432,0.064333,0.084816,0.9844,0.0155
"overlap_bad","Crude",56,56,56,0.086266,0.098165,0.047269,0.047095,0.625,0.0647
"overlap_bad","Adj. Regression (analytic)",56,56,56,0.001821,0.075818,0.076482,0.071214,0.9107,0.0381
"overlap_bad","IPTW (analytic)",56,56,56,0.023278,0.1026,0.100829,0.091455,0.9107,0.0381
"overlap_bad","PS-Matched (pairs boot)",56,56,56,-0.001634,0.093313,0.094143,0.088382,0.9643,0.0248
"overlap_bad","TMLE-GLM (IC)",56,56,56,-0.010508,0.109887,0.110373,0.074416,0.8214,0.0512
"overlap_bad","TMLE-ML (IC)",56,56,56,-0.007409,0.101103,0.101744,0.065138,0.8036,0.0531
"overlap_bad","TMLE-ML (NP boot pctl)",56,56,0,-0.007409,0.101103,0.101744,NA,NA,NA
"overlap_bad","TMLE-ML (NP boot norm)",56,56,0,-0.007409,0.101103,0.101744,NA,NA,NA
"overlap_bad","TMLE-ML (mult.boot)",56,56,56,-0.007409,0.101103,0.101744,0.064294,0.7857,0.0548
"overlap_bad","CV-TMLE-ML (IC)",56,56,56,0.004737,0.111421,0.112328,0.068859,0.7321,0.0592
"overlap_bad","CV-TMLE-ML (mult.boot)",56,56,56,0.004737,0.111421,0.112328,0.06831,0.7321,0.0592
