"contrast","outcome","timestamp","type","note"
"C1","death_by_6mo","2026-09-13 14:40:59","contrast","Lock C1: Rescue.Co vs everyone else (protocol comparator) (treated: Rescue.Co ambulance; control: Non-Rescue.Co ambulance + Non-ambulance; n = 8323, 1039 treated)."
"C1","death_by_6mo","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C1","death_by_6mo","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"C1","death_by_6mo","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C1","death_by_6mo","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C1","death_by_6mo","2026-09-13 18:21:37","outcome_access","Outcome death_by_6mo joined for Stage 4 estimation (design stage complete)."
"C1","death_by_6mo","2026-09-13 18:21:37","override","Primary ATE is infeasible (verdict SEVERE at trigger SEVERE) and is estimated anyway. Reason: Reconciliation row: the main pipeline reports the C1 ATE as a SEVERE-flagged diagnostic; estimated here under the same labelling so the two pipelines can be compared."
"C1","time_to_arrival_minutes","2026-09-13 14:40:59","contrast","Lock C1: Rescue.Co vs everyone else (protocol comparator) (treated: Rescue.Co ambulance; control: Non-Rescue.Co ambulance + Non-ambulance; n = 8323, 1039 treated)."
"C1","time_to_arrival_minutes","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C1","time_to_arrival_minutes","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"C1","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C1","time_to_arrival_minutes","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C1","time_to_arrival_minutes","2026-09-13 18:21:37","outcome_access","Outcome time_to_arrival_minutes joined for Stage 4 estimation (design stage complete)."
"C1","time_to_arrival_minutes","2026-09-13 18:21:37","override","Primary ATE is infeasible (verdict SEVERE at trigger SEVERE) and is estimated anyway. Reason: Reconciliation row: the main pipeline reports the C1 ATE as a SEVERE-flagged diagnostic; estimated here under the same labelling so the two pipelines can be compared."
"C2","death_by_6mo","2026-09-13 14:40:59","contrast","Lock C2: Rescue.Co vs non-ambulance (treated: Rescue.Co ambulance; control: Non-ambulance; n = 7165, 1039 treated)."
"C2","death_by_6mo","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C2","death_by_6mo","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
"C2","death_by_6mo","2026-09-13 14:40:59","pending_amendment","Rescue.Co is checking 76 treated patients in the primary cohort without a Rescue.Co ID (meeting 2026-09-10); any reclassification reruns from this stage."
"C2","death_by_6mo","2026-09-13 14:40:59","pending_amendment","The study team recalls improving Rescue.Co identification partway through enrolment; part of the rising Rescue.Co share may be ascertainment. Date pending."
"C2","death_by_6mo","2026-09-13 21:17:39","outcome_access","Outcome death_by_6mo joined for Stage 4 estimation (design stage complete)."
"C2","death_by_6mo","2026-09-13 21:17:39","estimand_switch","Primary ATE infeasible (verdict SEVERE at trigger SEVERE); moving down the declared ladder."
"C2","time_to_arrival_minutes","2026-09-13 14:40:59","contrast","Lock C2: Rescue.Co vs non-ambulance (treated: Rescue.Co ambulance; control: Non-ambulance; n = 7165, 1039 treated)."
"C2","time_to_arrival_minutes","2026-09-13 14:40:59","estimand_ladder","Primary ATE; fallbacks trimmed_ATE -> ATT -> ATO; trigger SEVERE; bias-to-null floor 0.0035."
"C2","time_to_arrival_minutes","2026-09-13 14:40:59","outcome","Primary outcome death_by_6mo (about 100 events in the primary cohort); severe_disability replaces gose_good so the rare category is the event; IPCW via Delta is the primary missing-outcome handling, complete case the sensitivity."
